filename,word_count,char_count,model,observer_model,performer_model,perplexity,cross_perplexity,binoculars_score,BinoThreshold,threshold,classification,ai_probability,Prediction,TrueLabel
AICreated_prompt3generateHTMLFormatv001.txt,176,1176,small,/Users/max-imac/.cache/huggingface/hub/models--gpt2/snapshots/607a30d783dfa663caf39e06633721c8d4cfcd7e,/Users/max-imac/.cache/huggingface/hub/models--gpt2-medium/snapshots/6dcaa7a952f72f9298047fd5137cd6e4f05f41da,2.8438,3.9531,0.7194,0.8536,0.9100,AI_Written,0.9458,Human_Written,AI_Written
AICreated_prompt3generateHTMLFormatv002.txt,116,819,small,/Users/max-imac/.cache/huggingface/hub/models--gpt2/snapshots/607a30d783dfa663caf39e06633721c8d4cfcd7e,/Users/max-imac/.cache/huggingface/hub/models--gpt2-medium/snapshots/6dcaa7a952f72f9298047fd5137cd6e4f05f41da,4.2500,4.8750,0.8718,0.8536,0.9100,Human_Written,0.6395,AI_Written,AI_Written
AICreated_prompt3generateHTMLFormatv003.txt,326,2261,small,/Users/max-imac/.cache/huggingface/hub/models--gpt2/snapshots/607a30d783dfa663caf39e06633721c8d4cfcd7e,/Users/max-imac/.cache/huggingface/hub/models--gpt2-medium/snapshots/6dcaa7a952f72f9298047fd5137cd6e4f05f41da,2.5938,3.2812,0.7905,0.8536,0.9100,AI_Written,0.8573,AI_Written,AI_Written
AICreated_prompt3generateHTMLFormatv004.txt,250,1795,small,/Users/max-imac/.cache/huggingface/hub/models--gpt2/snapshots/607a30d783dfa663caf39e06633721c8d4cfcd7e,/Users/max-imac/.cache/huggingface/hub/models--gpt2-medium/snapshots/6dcaa7a952f72f9298047fd5137cd6e4f05f41da,3.9375,4.5312,0.8690,0.8536,0.9100,Human_Written,0.6492,AI_Written,AI_Written
AICreated_prompt3generateHTMLFormatv005.txt,640,4248,small,/Users/max-imac/.cache/huggingface/hub/models--gpt2/snapshots/607a30d783dfa663caf39e06633721c8d4cfcd7e,/Users/max-imac/.cache/huggingface/hub/models--gpt2-medium/snapshots/6dcaa7a952f72f9298047fd5137cd6e4f05f41da,3.2812,4.0312,0.8140,0.8536,0.9100,AI_Written,0.8086,AI_Written,AI_Written
AIWritten_Sample2_ChinaAdvancementInRecentYears.txt,1045,7427,small,/Users/max-imac/.cache/huggingface/hub/models--gpt2/snapshots/607a30d783dfa663caf39e06633721c8d4cfcd7e,/Users/max-imac/.cache/huggingface/hub/models--gpt2-medium/snapshots/6dcaa7a952f72f9298047fd5137cd6e4f05f41da,3.0312,4.0000,0.7578,0.8536,0.9100,AI_Written,0.9074,AI_Written,AI_Written
AIWritten_Sample5_ChinaAdvancementInRecentYears_WDuplicate.txt,1182,8402,small,/Users/max-imac/.cache/huggingface/hub/models--gpt2/snapshots/607a30d783dfa663caf39e06633721c8d4cfcd7e,/Users/max-imac/.cache/huggingface/hub/models--gpt2-medium/snapshots/6dcaa7a952f72f9298047fd5137cd6e4f05f41da,3.0312,4.0000,0.7578,0.8536,0.9100,AI_Written,0.9074,AI_Written,AI_Written
AIWritten_sample4_WilliamFaulkner_NobelCommittee.txt,428,2692,small,/Users/max-imac/.cache/huggingface/hub/models--gpt2/snapshots/607a30d783dfa663caf39e06633721c8d4cfcd7e,/Users/max-imac/.cache/huggingface/hub/models--gpt2-medium/snapshots/6dcaa7a952f72f9298047fd5137cd6e4f05f41da,2.6406,4.0312,0.6550,0.8536,0.9100,AI_Written,0.9786,Human_Written,AI_Written
HumanWritten_Sample1_ParisTravelIntro.txt,799,4369,small,/Users/max-imac/.cache/huggingface/hub/models--gpt2/snapshots/607a30d783dfa663caf39e06633721c8d4cfcd7e,/Users/max-imac/.cache/huggingface/hub/models--gpt2-medium/snapshots/6dcaa7a952f72f9298047fd5137cd6e4f05f41da,3.3281,4.6875,0.7100,0.8536,0.9100,AI_Written,0.9526,Human_Written,Human_Written
Humanwritten_sample3_WilliamFaulkner_NobelCommittee.txt,439,2542,small,/Users/max-imac/.cache/huggingface/hub/models--gpt2/snapshots/607a30d783dfa663caf39e06633721c8d4cfcd7e,/Users/max-imac/.cache/huggingface/hub/models--gpt2-medium/snapshots/6dcaa7a952f72f9298047fd5137cd6e4f05f41da,3.0469,4.3125,0.7065,0.8536,0.9100,AI_Written,0.9549,Human_Written,Human_Written
