filename,word_count,char_count,model,observer_model,performer_model,perplexity,cross_perplexity,binoculars_score,BinoThreshold,classification,ai_probability,threshold,Prediction,TrueLabel
AICreated_prompt3generateHTMLFormatv001.txt,176,1176,large,gpt2-medium,gpt2-large,2.6406,3.7031,0.7131,0.8536,AI_Written,0.9504,0.91,AI_Written,AI_Written
AICreated_prompt3generateHTMLFormatv002.txt,116,819,large,gpt2-medium,gpt2-large,4.2188,4.5938,0.9184,0.8536,Human_Written,0.4687,0.91,Human_Written,AI_Written
AICreated_prompt3generateHTMLFormatv003.txt,326,2261,large,gpt2-medium,gpt2-large,2.4531,3.0938,0.7929,0.8536,AI_Written,0.8527,0.91,AI_Written,AI_Written
AICreated_prompt3generateHTMLFormatv004.txt,250,1795,large,gpt2-medium,gpt2-large,3.9375,4.3125,0.913,0.8536,Human_Written,0.4886,0.91,Human_Written,AI_Written
AICreated_prompt3generateHTMLFormatv005.txt,640,4248,large,gpt2-medium,gpt2-large,3.1094,3.6562,0.8504,0.8536,AI_Written,0.7096,0.91,AI_Written,AI_Written
AIWritten_Sample2_ChinaAdvancementInRecentYears.txt,1045,7427,large,gpt2-medium,gpt2-large,2.8594,3.6094,0.7922,0.8536,AI_Written,0.8541,0.91,AI_Written,AI_Written
AIWritten_Sample5_ChinaAdvancementInRecentYears_WDuplicate.txt,1182,8402,large,gpt2-medium,gpt2-large,2.8594,3.6094,0.7922,0.8536,AI_Written,0.8541,0.91,AI_Written,AI_Written
AIWritten_sample4_WilliamFaulkner_NobelCommittee.txt,428,2692,large,gpt2-medium,gpt2-large,2.4219,3.5156,0.6889,0.8536,AI_Written,0.965,0.91,AI_Written,AI_Written
HumanWritten_Sample1_ParisTravelIntro.txt,799,4369,large,gpt2-medium,gpt2-large,3.1094,4.125,0.7538,0.8536,AI_Written,0.9124,0.91,AI_Written,Human_Written
Humanwritten_sample3_WilliamFaulkner_NobelCommittee.txt,439,2542,large,gpt2-medium,gpt2-large,2.8906,3.8125,0.7582,0.8536,AI_Written,0.907,0.91,AI_Written,Human_Written
